scale,exp_name,method,total_time_ms,solve_time_ms,precond_time_ms,iterations,checkpoint,elapsed_sec,infer_csv,all_infer_csv,infer_log,status
4096,multiphase_v2_4096,PCG-none-cpu,27.4162,27.4146,0.0016,1009.25,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/910367005070732457/f8093ddca1854cdf823fd9be16ec01bd/checkpoints/multiphase_v2_4096-simple-epoch=499.ckpt,11,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_4096_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_4096_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_4096.log,ok
4096,multiphase_v2_4096,PCG-none-cuda,93.6221,93.4721,0.15,858.5,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/910367005070732457/f8093ddca1854cdf823fd9be16ec01bd/checkpoints/multiphase_v2_4096-simple-epoch=499.ckpt,11,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_4096_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_4096_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_4096.log,ok
4096,multiphase_v2_4096,PCG-diagonal-cpu,18.3331,18.3054,0.0277,654.75,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/910367005070732457/f8093ddca1854cdf823fd9be16ec01bd/checkpoints/multiphase_v2_4096-simple-epoch=499.ckpt,11,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_4096_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_4096_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_4096.log,ok
4096,multiphase_v2_4096,PCG-diagonal-cuda,67.5795,67.4043,0.1753,623.5,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/910367005070732457/f8093ddca1854cdf823fd9be16ec01bd/checkpoints/multiphase_v2_4096-simple-epoch=499.ckpt,11,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_4096_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_4096_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_4096.log,ok
4096,multiphase_v2_4096,PCG-ainv-cpu,23.3099,19.3325,3.9774,259.25,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/910367005070732457/f8093ddca1854cdf823fd9be16ec01bd/checkpoints/multiphase_v2_4096-simple-epoch=499.ckpt,11,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_4096_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_4096_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_4096.log,ok
4096,multiphase_v2_4096,PCG-ainv-cuda,35.0237,31.3553,3.6684,255.25,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/910367005070732457/f8093ddca1854cdf823fd9be16ec01bd/checkpoints/multiphase_v2_4096-simple-epoch=499.ckpt,11,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_4096_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_4096_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_4096.log,ok
4096,multiphase_v2_4096,PCG-ic-cpu,16.0869,15.224,0.8629,166.75,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/910367005070732457/f8093ddca1854cdf823fd9be16ec01bd/checkpoints/multiphase_v2_4096-simple-epoch=499.ckpt,11,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_4096_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_4096_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_4096.log,ok
4096,multiphase_v2_4096,PCG-ic-cuda,82.3599,74.1408,8.2191,160.75,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/910367005070732457/f8093ddca1854cdf823fd9be16ec01bd/checkpoints/multiphase_v2_4096-simple-epoch=499.ckpt,11,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_4096_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_4096_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_4096.log,ok
4096,multiphase_v2_4096,Neural,29.7384,21.5193,8.2191,304.75,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/910367005070732457/f8093ddca1854cdf823fd9be16ec01bd/checkpoints/multiphase_v2_4096-simple-epoch=499.ckpt,11,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_4096_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_4096_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_4096.log,ok
4096,multiphase_v2_4096,Neural+CUDA,41.0411,32.822,8.2191,304.75,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/910367005070732457/f8093ddca1854cdf823fd9be16ec01bd/checkpoints/multiphase_v2_4096-simple-epoch=499.ckpt,11,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_4096_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_4096_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_4096.log,ok
