run,step,progress,metric_raw,metric_smooth,pcg_iters
default_smoothing,6300,0.2342007434944238,0.109211,0.10589927272727273,
default_smoothing,6400,0.2379182156133829,0.104181,0.10498572727272727,
default_smoothing,6500,0.241635687732342,0.103237,0.10411154545454546,
default_smoothing,6600,0.24535315985130113,0.104323,0.10319045454545454,
default_smoothing,6700,0.24907063197026022,0.101945,0.10223163636363636,
default_smoothing,6800,0.2527881040892193,0.100688,0.10127863636363638,
default_smoothing,6900,0.25650557620817843,0.098539,0.10029872727272728,
default_smoothing,7000,0.26022304832713755,0.096602,0.09949418181818181,
default_smoothing,7100,0.26394052044609667,0.099595,0.0986549090909091,
default_smoothing,7200,0.26765799256505574,0.094949,0.09787609090909091,
default_smoothing,7300,0.27137546468401486,0.098015,0.097044,
default_smoothing,7400,0.275092936802974,0.101101,0.09622436363636364,
default_smoothing,7500,0.2788104089219331,0.09467,0.09540090909090909,
default_smoothing,7600,0.2825278810408922,0.09163,0.09459336363636363,
default_smoothing,7700,0.2862453531598513,0.095473,0.09377863636363637,
default_smoothing,7800,0.2899628252788104,0.091672,0.092864,
default_smoothing,7900,0.2936802973977695,0.089577,0.09191927272727272,
default_smoothing,8000,0.29739776951672864,0.096175,0.09107718181818182,792.0
default_smoothing,8100,0.30111524163568776,0.090712,0.09015263636363637,
default_smoothing,8200,0.3048327137546468,0.085303,0.08918318181818181,
default_smoothing,8300,0.30855018587360594,0.092792,0.08823663636363638,
default_smoothing,8400,0.31226765799256506,0.084285,0.08744445454545456,
default_smoothing,8500,0.3159851301115242,0.083566,0.08670754545454545,
default_smoothing,8600,0.31970260223048325,0.087954,0.085866,
default_smoothing,8700,0.32342007434944237,0.084258,0.08490118181818182,
default_smoothing,8800,0.3271375464684015,0.084078,0.08400890909090909,
default_smoothing,8900,0.3308550185873606,0.08621,0.08319181818181819,
default_smoothing,9000,0.3345724907063197,0.086567,0.08246945454545454,
default_smoothing,9100,0.3382899628252788,0.082373,0.081718,
default_smoothing,9200,0.3420074349442379,0.080099,0.08099618181818181,
default_smoothing,9300,0.34572490706319703,0.079762,0.08033090909090909,
