step,loss_avg,loss_std,elapsed_s,lr
14700,0.088891,0.003975,2.0658,6.250000e-06
14800,0.088863,0.004202,1.8288,6.250000e-06
14900,0.088836,0.004362,1.9396,6.250000e-06
15000,0.089452,0.003768,1.6702,6.250000e-06
15100,0.088568,0.004158,1.9009,6.250000e-06
15200,0.088013,0.004119,2.0890,6.250000e-06
15300,0.088721,0.004177,1.6233,6.250000e-06
15400,0.089152,0.004349,1.8326,6.250000e-06
15500,0.088940,0.003840,1.8335,6.250000e-06
15600,0.088701,0.003521,2.0047,6.250000e-06
15700,0.088373,0.004169,1.9802,6.250000e-06
15800,0.088319,0.003842,1.7868,3.125000e-06
15900,0.088063,0.004449,1.8767,3.125000e-06
16000,0.087818,0.004640,2.1055,3.125000e-06
16100,0.088827,0.003905,1.8774,3.125000e-06
16200,0.088033,0.003982,1.8470,3.125000e-06
16300,0.088370,0.004168,1.9131,3.125000e-06
16400,0.087831,0.004623,1.9272,3.125000e-06
16500,0.088491,0.003902,1.8925,1.562500e-06
16600,0.087343,0.004319,1.6257,1.562500e-06
16700,0.086725,0.003660,1.9631,1.562500e-06
16800,0.087541,0.004307,2.0289,1.562500e-06
16900,0.087013,0.003921,1.8755,1.562500e-06
17000,0.087589,0.003894,1.6246,1.562500e-06
17100,0.086369,0.004077,1.8724,1.562500e-06
17200,0.086396,0.004220,1.6275,1.562500e-06
17300,0.085789,0.004709,1.8768,1.562500e-06
17400,0.085521,0.003536,1.9590,1.562500e-06
17500,0.085090,0.004478,1.6258,1.562500e-06
17600,0.084965,0.004044,1.9539,1.562500e-06
17700,0.084556,0.004517,1.8298,1.562500e-06
17800,0.084109,0.004327,1.9507,1.562500e-06
17900,0.083685,0.003678,1.6266,1.562500e-06
18000,0.081761,0.004320,1.8794,1.562500e-06
18100,0.081492,0.004372,1.6508,1.562500e-06
18200,0.080717,0.004082,2.0976,1.562500e-06
18300,0.079666,0.004399,1.8802,1.562500e-06
18400,0.079932,0.004364,1.8176,1.562500e-06
18500,0.078135,0.004461,1.6289,1.562500e-06
18600,0.078428,0.004673,1.8780,1.562500e-06
18700,0.078529,0.005125,1.8525,1.562500e-06
18800,0.079097,0.004464,1.6290,1.562500e-06
18900,0.077028,0.004639,1.8796,1.562500e-06
19000,0.076387,0.004448,1.6747,1.562500e-06
19100,0.077177,0.004310,1.8802,1.562500e-06
19200,0.076838,0.004520,2.1185,1.562500e-06
19300,0.075702,0.005045,1.8426,1.562500e-06
19400,0.076668,0.004339,1.8101,1.562500e-06
19500,0.076014,0.004666,1.7878,1.562500e-06
19600,0.076946,0.004496,1.6858,1.562500e-06
19700,0.076221,0.004559,1.8423,1.562500e-06
19800,0.075098,0.004732,1.8299,1.562500e-06
19900,0.076659,0.004518,1.9115,1.562500e-06
20000,0.075554,0.004854,1.8721,1.562500e-06
20100,0.075466,0.004948,1.8532,1.562500e-06
20200,0.074946,0.004858,2.1251,1.562500e-06
20300,0.075292,0.004688,1.8371,1.562500e-06
20400,0.075457,0.004509,1.8267,1.000000e-06
20500,0.075482,0.004501,1.8277,1.000000e-06
20600,0.074550,0.004516,1.8398,1.000000e-06
20700,0.074181,0.004562,1.6296,1.000000e-06
20800,0.074785,0.004828,1.8795,1.000000e-06
20900,0.074429,0.004734,1.7160,1.000000e-06
21000,0.074661,0.004365,1.8741,1.000000e-06
21100,0.073871,0.004222,1.6352,1.000000e-06
21200,0.074231,0.004964,1.9413,1.000000e-06
21300,0.074585,0.004562,1.6492,1.000000e-06
21400,0.074007,0.004940,1.9689,1.000000e-06
21500,0.075127,0.004554,1.9741,1.000000e-06
21600,0.074634,0.004830,1.9962,1.000000e-06
21700,0.073201,0.004041,1.7050,1.000000e-06
21800,0.074215,0.004674,1.8514,1.000000e-06
21900,0.074170,0.004239,1.6331,1.000000e-06
22000,0.073789,0.003788,1.9539,1.000000e-06
22100,0.074504,0.004157,2.0516,1.000000e-06
22200,0.073482,0.004384,1.9814,1.000000e-06
22300,0.073780,0.004270,1.8841,1.000000e-06
22400,0.073790,0.004459,1.8927,1.000000e-06
22500,0.074389,0.004376,2.0769,1.000000e-06
22600,0.072980,0.004465,1.7176,1.000000e-06
22700,0.073524,0.005055,1.8438,1.000000e-06
