step,loss_avg,loss_std,elapsed_s,lr,pcg_iters,sai_loss
14000,0.045619,0.003247,1.2947,2.500000e-05,147,0.416701
14100,0.045264,0.002974,1.2920,2.500000e-05,,
14200,0.044919,0.002850,1.2883,2.500000e-05,,
14300,0.044863,0.002865,1.2753,2.500000e-05,,
14400,0.044849,0.003355,1.2847,1.250000e-05,,
14500,0.044876,0.002866,1.2745,1.250000e-05,,
14600,0.044405,0.002861,1.2758,1.250000e-05,,
14700,0.044747,0.003215,1.2794,1.250000e-05,,
14800,0.044463,0.003105,1.2761,1.250000e-05,,
14900,0.044964,0.003022,1.2794,1.250000e-05,,
15000,0.045116,0.002961,1.2691,1.250000e-05,,
15100,0.044197,0.002899,1.2933,1.250000e-05,,
15200,0.044496,0.003105,1.3984,6.250000e-06,,
15300,0.044090,0.002472,1.2983,6.250000e-06,,
15400,0.044687,0.002596,1.2779,6.250000e-06,,
15500,0.043869,0.002776,1.2671,6.250000e-06,,
15600,0.044095,0.003165,1.2710,6.250000e-06,,
15700,0.043997,0.002664,1.2552,6.250000e-06,,
15800,0.043653,0.002805,1.2694,6.250000e-06,,
15900,0.043694,0.002965,1.2694,6.250000e-06,,
16000,0.044130,0.002862,1.2694,6.250000e-06,141,0.481531
16100,0.043924,0.003044,1.2635,6.250000e-06,,
16200,0.043953,0.002967,1.2730,6.250000e-06,,
16300,0.043794,0.002879,1.2828,6.250000e-06,,
16400,0.043867,0.003024,1.2721,3.125000e-06,,
16500,0.043715,0.002711,1.2843,3.125000e-06,,
16600,0.044388,0.002856,1.2663,3.125000e-06,,
16700,0.044071,0.002605,1.2691,3.125000e-06,,
16800,0.043608,0.002641,1.2821,3.125000e-06,,
16900,0.044108,0.002531,1.2791,3.125000e-06,,
17000,0.044252,0.003019,1.2671,3.125000e-06,,
17100,0.044027,0.002932,1.2755,1.562500e-06,,
17200,0.044081,0.002763,1.2753,1.562500e-06,,
17300,0.043609,0.002843,1.2752,1.562500e-06,,
17400,0.044115,0.002842,1.2879,1.562500e-06,,
17500,0.043551,0.002739,1.3192,1.562500e-06,,
17600,0.043946,0.002746,1.2673,1.562500e-06,,
17700,0.044183,0.003107,1.2656,1.562500e-06,,
17800,0.043332,0.002821,1.2498,1.562500e-06,,
17900,0.043600,0.002916,1.2523,1.562500e-06,,
