#options: 3840x2160 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=21 lookahead_threads=7 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=cbr mbtree=1 bitrate=105000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=105000 vbv_bufsize=210000 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:58 out:58 type:B dur:2 cpbdur:2 q:15.47 aq:8.46 tex:4397519 mv:145278 misc:4067 imb:3632 pmb:4751 smb:24017 d:s ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:15.47 aq:11.06 tex:7472 mv:961 misc:5943 imb:0 pmb:1240 smb:31160 d:s ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:15.47 aq:10.04 tex:7510 mv:967 misc:5699 imb:0 pmb:1216 smb:31184 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:15.21 aq:6.28 tex:4973612 mv:74540 misc:10192 imb:5246 pmb:4834 smb:22320 d:s ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:15.46 aq:8.30 tex:8724 mv:1236 misc:5728 imb:6 pmb:1091 smb:31303 d:s ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:15.46 aq:10.00 tex:2427 mv:212 misc:2961 imb:0 pmb:279 smb:32121 d:s ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:15.46 aq:10.40 tex:4437 mv:768 misc:4251 imb:1 pmb:805 smb:31594 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:14.89 aq:6.39 tex:4629254 mv:72899 misc:10623 imb:5419 pmb:4828 smb:22153 d:s ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:15.21 aq:7.80 tex:8914 mv:1232 misc:5806 imb:4 pmb:1218 smb:31178 d:s ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:15.21 aq:9.78 tex:2005 mv:195 misc:2840 imb:0 pmb:252 smb:32148 d:s ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:15.21 aq:10.34 tex:9013 mv:1270 misc:6581 imb:5 pmb:1396 smb:30999 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:14.74 aq:6.93 tex:4063872 mv:70266 misc:9886 imb:5627 pmb:4319 smb:22454 d:s ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:14.89 aq:8.18 tex:164895 mv:1920 misc:10921 imb:6 pmb:3454 smb:28940 d:s ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:14.89 aq:9.93 tex:9891 mv:1290 misc:6691 imb:1 pmb:1412 smb:30987 d:s ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:14.89 aq:8.32 tex:10543 mv:1772 misc:7341 imb:1 pmb:1445 smb:30954 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:14.72 aq:6.46 tex:4193596 mv:68610 misc:8338 imb:5413 pmb:3758 smb:23229 d:s ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:14.98 aq:8.00 tex:490404 mv:1894 misc:10862 imb:7 pmb:5259 smb:27134 d:s ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:14.98 aq:8.74 tex:6347 mv:859 misc:5330 imb:0 pmb:1026 smb:31374 d:s ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:14.98 aq:8.64 tex:7495 mv:1472 misc:7889 imb:0 pmb:1697 smb:30703 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:14.69 aq:5.94 tex:5147705 mv:67184 misc:8079 imb:5703 pmb:3527 smb:23170 d:s ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:14.82 aq:8.18 tex:4786603 mv:156939 misc:3466 imb:3272 pmb:5070 smb:24058 d:s ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:14.82 aq:8.97 tex:6297 mv:907 misc:4900 imb:1 pmb:1004 smb:31395 d:s ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:14.82 aq:8.85 tex:5894 mv:940 misc:5046 imb:2 pmb:1042 smb:31356 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:14.58 aq:6.41 tex:4930160 mv:68065 misc:9087 imb:5413 pmb:4102 smb:22885 d:s ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:14.92 aq:7.69 tex:7439 mv:1278 misc:4835 imb:5 pmb:943 smb:31452 d:s ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:14.92 aq:8.71 tex:2034 mv:200 misc:2358 imb:0 pmb:170 smb:32230 d:s ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:14.92 aq:10.11 tex:4676 mv:868 misc:4232 imb:3 pmb:822 smb:31575 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:14.24 aq:7.00 tex:4615636 mv:65574 misc:9406 imb:5624 pmb:4011 smb:22765 d:s ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:14.59 aq:6.86 tex:8454 mv:1176 misc:5026 imb:8 pmb:958 smb:31434 d:s ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:14.59 aq:7.44 tex:2577 mv:244 misc:2715 imb:0 pmb:235 smb:32165 d:s ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:14.59 aq:7.91 tex:8737 mv:1057 misc:5798 imb:1 pmb:1145 smb:31254 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:14.34 aq:6.71 tex:6357086 mv:82444 misc:8166 imb:7527 pmb:4193 smb:20680 d:s ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:14.44 aq:8.20 tex:179344 mv:1976 misc:10848 imb:9 pmb:3589 smb:28802 d:s ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:14.44 aq:7.21 tex:5883 mv:1034 misc:5499 imb:1 pmb:1145 smb:31254 d:s ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:14.44 aq:8.85 tex:10696 mv:1775 misc:7433 imb:0 pmb:1478 smb:30922 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:14.45 aq:6.46 tex:4260970 mv:72791 misc:10519 imb:5603 pmb:4621 smb:22176 d:s ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:14.77 aq:8.05 tex:402201 mv:1855 misc:11424 imb:3 pmb:4743 smb:27654 d:s ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:14.79 aq:9.40 tex:7941 mv:807 misc:5748 imb:0 pmb:1140 smb:31260 d:s ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:14.79 aq:9.12 tex:6866 mv:1373 misc:7225 imb:0 pmb:1390 smb:31010 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:14.80 aq:5.76 tex:5117328 mv:74023 misc:8977 imb:5397 pmb:4382 smb:22621 d:s ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:14.81 aq:7.93 tex:4604757 mv:157206 misc:3821 imb:3044 pmb:5214 smb:24142 d:s ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:14.81 aq:8.60 tex:6740 mv:873 misc:5539 imb:0 pmb:1075 smb:31325 d:s ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:14.81 aq:8.22 tex:7057 mv:885 misc:5450 imb:1 pmb:1127 smb:31272 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:14.81 aq:6.26 tex:4875851 mv:69154 misc:7955 imb:5351 pmb:3797 smb:23252 d:s ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:14.93 aq:7.45 tex:7410 mv:972 misc:4930 imb:3 pmb:943 smb:31454 d:s ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:14.93 aq:8.62 tex:1986 mv:206 misc:2600 imb:0 pmb:212 smb:32188 d:s ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:14.93 aq:9.02 tex:4843 mv:844 misc:4345 imb:2 pmb:825 smb:31573 d:- ref:0 ;
