#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=21 lookahead_threads=7 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=cbr mbtree=1 bitrate=9650 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=9650 vbv_bufsize=19300 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:100 out:97 type:P dur:2 cpbdur:2 q:2.06 aq:0.00 tex:9756 mv:197 misc:1455 imb:6 pmb:298 smb:7856 d:- ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:3.36 aq:0.28 tex:323 mv:10 misc:507 imb:0 pmb:10 smb:8150 d:- ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:3.36 aq:0.00 tex:264 mv:52 misc:508 imb:0 pmb:12 smb:8148 d:- ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:3.35 aq:0.00 tex:266 mv:54 misc:504 imb:0 pmb:12 smb:8148 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:1.84 aq:0.00 tex:9718 mv:196 misc:1462 imb:6 pmb:297 smb:7857 d:- ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:2.06 aq:0.30 tex:325 mv:11 misc:504 imb:0 pmb:10 smb:8150 d:- ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:2.06 aq:1.58 tex:323 mv:54 misc:503 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:2.06 aq:1.58 tex:323 mv:56 misc:509 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:1.84 aq:0.00 tex:9712 mv:199 misc:1449 imb:6 pmb:297 smb:7857 d:- ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:1.84 aq:0.33 tex:368 mv:12 misc:516 imb:0 pmb:11 smb:8149 d:- ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:1.84 aq:1.58 tex:323 mv:54 misc:503 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:1.84 aq:1.58 tex:323 mv:56 misc:509 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:1.84 aq:0.00 tex:9718 mv:196 misc:1462 imb:6 pmb:297 smb:7857 d:- ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:1.84 aq:0.27 tex:322 mv:11 misc:507 imb:0 pmb:10 smb:8150 d:- ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:1.84 aq:1.58 tex:323 mv:54 misc:503 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:1.84 aq:1.58 tex:323 mv:56 misc:509 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:1.68 aq:0.00 tex:9825 mv:206 misc:1449 imb:6 pmb:298 smb:7856 d:- ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:1.84 aq:0.33 tex:368 mv:12 misc:516 imb:0 pmb:11 smb:8149 d:- ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:1.84 aq:1.58 tex:323 mv:54 misc:503 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:1.84 aq:1.58 tex:323 mv:56 misc:509 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:1.69 aq:0.00 tex:9763 mv:199 misc:1454 imb:6 pmb:298 smb:7856 d:- ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:1.69 aq:0.27 tex:322 mv:11 misc:507 imb:0 pmb:10 smb:8150 d:- ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:1.69 aq:1.58 tex:323 mv:54 misc:503 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:1.69 aq:1.58 tex:323 mv:56 misc:509 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:1.53 aq:0.20 tex:4290 mv:167 misc:1095 imb:6 pmb:133 smb:8021 d:- ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:1.69 aq:0.33 tex:368 mv:12 misc:516 imb:0 pmb:11 smb:8149 d:- ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:1.69 aq:1.58 tex:323 mv:54 misc:503 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:1.69 aq:1.58 tex:323 mv:56 misc:509 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:128 out:125 type:P dur:2 cpbdur:2 q:1.99 aq:0.62 tex:189261 mv:469 misc:1190 imb:41 pmb:779 smb:7340 d:- ref:0 ;
in:126 out:126 type:B dur:2 cpbdur:2 q:1.98 aq:1.38 tex:4778 mv:364 misc:1362 imb:0 pmb:723 smb:7437 d:s ref:0 ;
in:125 out:127 type:b dur:2 cpbdur:2 q:1.98 aq:2.21 tex:26755 mv:430 misc:1279 imb:0 pmb:730 smb:7430 d:s ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:1.99 aq:2.06 tex:997 mv:124 misc:615 imb:0 pmb:35 smb:8125 d:- ref:0 ;
in:132 out:129 type:P dur:2 cpbdur:2 q:0.02 aq:0.73 tex:23747 mv:204 misc:1577 imb:4 pmb:436 smb:7720 d:- ref:0 ;
in:130 out:130 type:B dur:2 cpbdur:2 q:1.97 aq:1.04 tex:1059 mv:128 misc:725 imb:0 pmb:53 smb:8107 d:- ref:0 ;
in:129 out:131 type:b dur:2 cpbdur:2 q:1.98 aq:0.00 tex:677 mv:144 misc:675 imb:0 pmb:48 smb:8112 d:s ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:1.97 aq:0.00 tex:650 mv:60 misc:554 imb:0 pmb:23 smb:8137 d:- ref:0 ;
in:134 out:133 type:P dur:2 cpbdur:2 q:0.28 aq:0.67 tex:925 mv:125 misc:654 imb:4 pmb:26 smb:8130 d:s ref:0 ;
in:133 out:134 type:b dur:2 cpbdur:2 q:0.28 aq:1.02 tex:808 mv:50 misc:590 imb:0 pmb:28 smb:8132 d:- ref:0 ;
in:135 out:135 type:I dur:2 cpbdur:2 q:19.40 aq:10.32 tex:4075925 mv:262161 misc:626 imb:8160 pmb:0 smb:0 d:- ref:;
