#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=21 lookahead_threads=7 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=cbr mbtree=1 bitrate=5800 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=5800 vbv_bufsize=11600 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:43 out:44 type:b dur:2 cpbdur:2 q:5.98 aq:0.01 tex:244 mv:53 misc:495 imb:0 pmb:11 smb:8149 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:3.27 aq:0.10 tex:15390 mv:220 misc:1422 imb:7 pmb:314 smb:7839 d:s ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:4.34 aq:0.00 tex:211 mv:8 misc:493 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:4.35 aq:0.00 tex:298 mv:54 misc:512 imb:0 pmb:13 smb:8147 d:s ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:4.34 aq:0.00 tex:300 mv:56 misc:508 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:3.36 aq:0.03 tex:8179 mv:200 misc:1325 imb:7 pmb:229 smb:7924 d:s ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:3.36 aq:0.00 tex:211 mv:8 misc:493 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:3.36 aq:0.00 tex:294 mv:53 misc:517 imb:0 pmb:13 smb:8147 d:s ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:3.36 aq:0.00 tex:296 mv:55 misc:513 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:3.44 aq:0.03 tex:6580 mv:191 misc:1253 imb:7 pmb:196 smb:7957 d:s ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:3.44 aq:0.00 tex:211 mv:8 misc:493 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:3.44 aq:0.00 tex:294 mv:53 misc:517 imb:0 pmb:13 smb:8147 d:s ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:3.44 aq:0.00 tex:296 mv:55 misc:513 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:3.57 aq:0.03 tex:6148 mv:189 misc:1231 imb:7 pmb:187 smb:7966 d:s ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:3.57 aq:0.00 tex:211 mv:8 misc:493 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:3.57 aq:0.00 tex:294 mv:53 misc:517 imb:0 pmb:13 smb:8147 d:s ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:3.57 aq:0.00 tex:296 mv:55 misc:513 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:3.62 aq:0.03 tex:5885 mv:189 misc:1222 imb:7 pmb:180 smb:7973 d:s ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:3.62 aq:0.00 tex:211 mv:8 misc:493 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:3.62 aq:0.00 tex:294 mv:53 misc:517 imb:0 pmb:13 smb:8147 d:s ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:3.62 aq:0.00 tex:296 mv:55 misc:513 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:3.67 aq:0.03 tex:5828 mv:191 misc:1221 imb:7 pmb:178 smb:7975 d:s ref:0 ;
